,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
1539,Donostialdea,Donostialdea,Donostia/San Sebastian,Lasarte-Oria,Coche conductor,07:00,22,Donostia/San Sebastian,2,3,3,2 adultos con niño(s),1,5,1,1,2021,24223.07,-2.0236963780671853,43.30004873134902,-2.033693,43.256347
1540,Donostialdea,Donostialdea,Donostia/San Sebastian,Urnieta,Coche conductor,05:30,22,Donostia/San Sebastian,2,2,1,2 adultos con niño(s),1,5,1,1,2021,25818.26,-1.9755697305604003,43.321292179736695,-2.033693,43.256347
1541,Goierri                              ,Donostialdea,Ordizia,Lasarte-Oria,Coche conductor,18:00,99,Lasarte-Oria,2,2,1,2 adultos con niño(s),1,5,1,1,2021,23615.67,-2.1792364565983444,43.05368939552898,-2.033693,43.256347
1542,Donostialdea,Donostialdea,Errenteria,Oiartzun,Coche conductor,08:45,23,Errenteria,2,2,1,Otros hogares con niños,2,4,1,1,2021,21094.02,-1.8998593971566895,43.31162885248811,-2.033693,43.256347
1543,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,08:30,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,2,4,1,1,2021,23437.51,-1.9385300352491484,43.32554135824,-2.033693,43.256347
1544,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,17:00,99,Errenteria,2,1,1,Otros hogares sin niños,1,4,1,2,2021,21338.35,-1.954646217253394,43.300550990260824,-2.033693,43.256347
1545,Donostialdea,Donostialdea,Hernani,Errenteria,Coche conductor,15:00,22,Errenteria,1,2,1,Hogar de una persona,2,5,1,1,2021,24338.91,-1.9677396327740195,43.257758838754384,-2.033693,43.256347
1546,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Moto,00:00,22,Pasaia,2,2,3,Otros hogares sin niños,1,3,1,2,2021,18861.625,-1.9827554338750661,43.3222834977551,-2.033693,43.256347
1547,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,17:00,99,Errenteria,2,1,1,Otros hogares sin niños,1,4,1,2,2021,21338.35,-2.008393138566971,43.30861591742308,-2.033693,43.256347
1548,Tolosaldea,Donostialdea,Villabona,Hernani,Coche conductor,23:00,22,Hernani,1,2,1,2 adultos,2,6,1,1,2021,23590.710000000003,-2.0397008563411467,43.20053958472687,-2.033693,43.256347
1549,Donostialdea,Donostialdea,Pasaia,Donostia/San Sebastian,Moto,08:00,22,Pasaia,2,2,2,2 adultos con niño(s),1,5,1,1,2021,27334.709999999995,-1.932951529138354,43.32455519096155,-2.033693,43.256347
1550,Debagoiena,Donostialdea,Arrasate/Mondragon,Donostia/San Sebastian,Coche conductor,15:30,99,Amurrio,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27611.51,-2.4785788805768396,43.06614655090408,-2.033693,43.256347
1551,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,-2.42034509087431,43.03743876229652,-2.033693,43.256347
1552,Donostialdea,Donostialdea,Pasaia,Oiartzun,Coche conductor,04:30,23,Pasaia,2,2,1,Otros hogares sin niños,1,5,1,1,2021,22462.65,-1.9234435030395811,43.32530750432478,-2.033693,43.256347
1553,Bidasoa,Donostialdea,Hondarribia,Donostia/San Sebastian,Coche conductor,07:00,99,Hondarribia,3,4,1,Otros hogares con niños,2,5,1,1,2021,26270.51,-1.7984980131093118,43.379532170167494,-2.033693,43.256347
1554,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,EUSKOTREN,10:00,23,Irun,2,1,1,Otros hogares con niños,2,3,1,2,2021,21032.985,-1.798813368691874,43.34318925188269,-2.033693,43.256347
